url,Sqlogolink image,Sqlogolink image_alt,Sqlogolink image_link,Nomargvert link,Nomargvert link_link,Empsmall value,Salarycount value,Small link,Small link_link,Hidedeskcur price,Hidedeskcur value,Minorcell value 1,Minorcell value 2
"https://www.glassdoor.com/Salaries/singapore-software-salary-SRCH_IL.0,9_IN217_KO10,18_SDMC.htm",https://media.glassdoor.com/sqls/255115/st-electronics-singapore-squarelogo-1386950881336.png,ST Electronics (Singapore),https://www.glassdoor.com/Salary/ST-Electronics-Singapore-Salaries-E255115.htm,Software Engineer - Monthly,"https://www.glassdoor.com/Monthly-Pay/ST-Electronics-Singapore-Software-Engineer-Monthly-Pay-E255115_D_KO25,42.htm",ST Electronics (Singapore),31 salaries,,,"$3,412",monthly,$3k,$4k
"https://www.glassdoor.com/Salaries/singapore-software-salary-SRCH_IL.0,9_IN217_KO10,18_SDMC.htm",https://media.glassdoor.com/sqls/3768/continental-ag-squarelogo-1377070806275.png,Continental,https://www.glassdoor.com/Salary/Continental-Salaries-E3768.htm,Software Engineer - Monthly,"https://www.glassdoor.com/Monthly-Pay/Continental-Software-Engineer-US-Monthly-Pay-EJI_IE3768.0,11_KO12,29_IL.30,32_IN1.htm",Continental,29 salaries,See 64 salaries from all locations,"https://www.glassdoor.com/Monthly-Pay/Continental-Software-Engineer-Monthly-Pay-E3768_D_KO12,29.htm","$3,780",monthly,$3k,$4k
"https://www.glassdoor.com/Salaries/singapore-software-salary-SRCH_IL.0,9_IN217_KO10,18_SDMC.htm",https://media.glassdoor.com/sqls/35090/gemalto-squarelogo-1432807152882.png,Gemalto,https://www.glassdoor.com/Salary/Gemalto-Salaries-E35090.htm,Software Engineer - Monthly,"https://www.glassdoor.com/Monthly-Pay/Gemalto-Software-Engineer-US-Monthly-Pay-EJI_IE35090.0,7_KO8,25_IL.26,28_IN1.htm",Gemalto,25 salaries,See 10 salaries from all locations,"https://www.glassdoor.com/Monthly-Pay/Gemalto-Software-Engineer-Monthly-Pay-E35090_D_KO8,25.htm","$3,787",monthly,$3k,$5k
"https://www.glassdoor.com/Salaries/singapore-software-salary-SRCH_IL.0,9_IN217_KO10,18_SDMC.htm",https://media.glassdoor.com/sqls/532331/garena-online-squarelogo-1425974458976.png,Garena Online,https://www.glassdoor.com/Salary/Garena-Online-Salaries-E532331.htm,Software Engineer - Monthly,"https://www.glassdoor.com/Monthly-Pay/Garena-Online-Software-Engineer-Monthly-Pay-E532331_D_KO14,31.htm",Garena Online,20 salaries,,,"$5,240",monthly,$4k,$9k
"https://www.glassdoor.com/Salaries/singapore-software-salary-SRCH_IL.0,9_IN217_KO10,18_SDMC.htm",https://media.glassdoor.com/sqls/35090/gemalto-squarelogo-1432807152882.png,Gemalto,https://www.glassdoor.com/Salary/Gemalto-Salaries-E35090.htm,R&D Software Engineer - Monthly,https://www.glassdoor.com/Monthly-Pay/Gemalto-R-and-D-Software-Engineer-US-Monthly-Pay-E35090_DAO.htm?filter.jobTitleExact=R%26D+Software+Engineer&selectedLocationString=N%2C1,Gemalto,18 salaries,See 1 salaries from all locations,https://www.glassdoor.com/Monthly-Pay/Gemalto-R-and-D-Software-Engineer-Monthly-Pay-E35090_DAO.htm?filter.jobTitleExact=R%26D+Software+Engineer,"$3,635",monthly,$3k,$5k
"https://www.glassdoor.com/Salaries/singapore-software-salary-SRCH_IL.0,9_IN217_KO10,18_SDMC.htm",https://media.glassdoor.com/sqls/4138/accenture-squarelogo-1480353968717.png,Accenture,https://www.glassdoor.com/Salary/Accenture-Salaries-E4138.htm,Associate Software Engineer - Monthly,"https://www.glassdoor.com/Monthly-Pay/Accenture-Associate-Software-Engineer-US-Monthly-Pay-EJI_IE4138.0,9_KO10,37_IL.38,40_IN1.htm",Accenture,13 salaries,See 110 salaries from all locations,"https://www.glassdoor.com/Monthly-Pay/Accenture-Associate-Software-Engineer-Monthly-Pay-E4138_D_KO10,37.htm","$3,397",monthly,$3k,$4k
"https://www.glassdoor.com/Salaries/singapore-software-salary-SRCH_IL.0,9_IN217_KO10,18_SDMC.htm",https://media.glassdoor.com/sqls/1155/autodesk-squarelogo.png,Autodesk,https://www.glassdoor.com/Salary/Autodesk-Salaries-E1155.htm,Senior Software Engineer,"https://www.glassdoor.com/Salary/Autodesk-Senior-Software-Engineer-US-Salaries-EJI_IE1155.0,8_KO9,33_IL.34,36_IN1.htm",Autodesk,13 salaries,See 73 salaries from all locations,"https://www.glassdoor.com/Salary/Autodesk-Senior-Software-Engineer-Salaries-E1155_D_KO9,33.htm","$94,946",per year,$72k,$120k
"https://www.glassdoor.com/Salaries/singapore-software-salary-SRCH_IL.0,9_IN217_KO10,18_SDMC.htm",https://media.glassdoor.com/sqls/35090/gemalto-squarelogo-1432807152882.png,Gemalto,https://www.glassdoor.com/Salary/Gemalto-Salaries-E35090.htm,R&D Software Engineer,https://www.glassdoor.com/Salary/Gemalto-R-and-D-Software-Engineer-US-Salaries-E35090_DAO.htm?filter.jobTitleExact=R%26D+Software+Engineer&selectedLocationString=N%2C1,Gemalto,13 salaries,See 1 salaries from all locations,https://www.glassdoor.com/Salary/Gemalto-R-and-D-Software-Engineer-Salaries-E35090_DAO.htm?filter.jobTitleExact=R%26D+Software+Engineer,"$45,511",per year,$36k,$62k
"https://www.glassdoor.com/Salaries/singapore-software-salary-SRCH_IL.0,9_IN217_KO10,18_SDMC.htm",https://media.glassdoor.com/sqls/354/ibm-squarelogo-1468349448058.png,IBM,https://www.glassdoor.com/Salary/IBM-Salaries-E354.htm,Software Engineer - Monthly,"https://www.glassdoor.com/Monthly-Pay/IBM-Software-Engineer-US-Monthly-Pay-EJI_IE354.0,3_KO4,21_IL.22,24_IN1.htm",IBM,12 salaries,"See 1,087 salaries from all locations","https://www.glassdoor.com/Monthly-Pay/IBM-Software-Engineer-Monthly-Pay-E354_D_KO4,21.htm","$3,854",monthly,$3k,$6k
"https://www.glassdoor.com/Salaries/singapore-software-salary-SRCH_IL.0,9_IN217_KO10,18_SDMC.htm",https://media.glassdoor.com/sqls/35090/gemalto-squarelogo-1432807152882.png,Gemalto,https://www.glassdoor.com/Salary/Gemalto-Salaries-E35090.htm,Software Engineer,"https://www.glassdoor.com/Salary/Gemalto-Software-Engineer-US-Salaries-EJI_IE35090.0,7_KO8,25_IL.26,28_IN1.htm",Gemalto,12 salaries,See 10 salaries from all locations,"https://www.glassdoor.com/Salary/Gemalto-Software-Engineer-Salaries-E35090_D_KO8,25.htm","$40,416",per year,$36k,$59k
"https://www.glassdoor.com/Salaries/singapore-software-salary-SRCH_IL.0,9_IN217_KO10,18_SDMC.htm",https://media.glassdoor.com/sqls/255115/st-electronics-singapore-squarelogo-1386950881336.png,ST Electronics (Singapore),https://www.glassdoor.com/Salary/ST-Electronics-Singapore-Salaries-E255115.htm,Software Engineer - Monthly Contractor,https://www.glassdoor.com/Contractors-Salary/ST-Electronics-Singapore-Contractor-Salary-E255115.htm?filter.jobTitleFTS=Software+Engineer,ST Electronics (Singapore),12 salaries,,,"$3,278",monthly,$3k,$5k
"https://www.glassdoor.com/Salaries/singapore-software-salary-SRCH_IL.0,9_IN217_KO10,18_SDMC.htm",https://media.glassdoor.com/sqls/4138/accenture-squarelogo-1480353968717.png,Accenture,https://www.glassdoor.com/Salary/Accenture-Salaries-E4138.htm,Software Engineer - Monthly,"https://www.glassdoor.com/Monthly-Pay/Accenture-Software-Engineer-US-Monthly-Pay-EJI_IE4138.0,9_KO10,27_IL.28,30_IN1.htm",Accenture,11 salaries,See 136 salaries from all locations,"https://www.glassdoor.com/Monthly-Pay/Accenture-Software-Engineer-Monthly-Pay-E4138_D_KO10,27.htm","$3,663",monthly,$3k,$5k
"https://www.glassdoor.com/Salaries/singapore-software-salary-SRCH_IL.0,9_IN217_KO10,18_SDMC.htm",https://media.glassdoor.com/sqls/1155/autodesk-squarelogo.png,Autodesk,https://www.glassdoor.com/Salary/Autodesk-Salaries-E1155.htm,Software Engineer - Monthly,"https://www.glassdoor.com/Monthly-Pay/Autodesk-Software-Engineer-US-Monthly-Pay-EJI_IE1155.0,8_KO9,26_IL.27,29_IN1.htm",Autodesk,11 salaries,See 100 salaries from all locations,"https://www.glassdoor.com/Monthly-Pay/Autodesk-Software-Engineer-Monthly-Pay-E1155_D_KO9,26.htm","$4,886",monthly,$4k,$6k
"https://www.glassdoor.com/Salaries/singapore-software-salary-SRCH_IL.0,9_IN217_KO10,18_SDMC.htm",https://media.glassdoor.com/sqls/1155/autodesk-squarelogo.png,Autodesk,https://www.glassdoor.com/Salary/Autodesk-Salaries-E1155.htm,Software Engineer,"https://www.glassdoor.com/Salary/Autodesk-Software-Engineer-US-Salaries-EJI_IE1155.0,8_KO9,26_IL.27,29_IN1.htm",Autodesk,11 salaries,See 100 salaries from all locations,"https://www.glassdoor.com/Salary/Autodesk-Software-Engineer-Salaries-E1155_D_KO9,26.htm","$62,621",per year,$50k,$84k
"https://www.glassdoor.com/Salaries/singapore-software-salary-SRCH_IL.0,9_IN217_KO10,18_SDMC.htm",https://media.glassdoor.com/sqls/3768/continental-ag-squarelogo-1377070806275.png,Continental,https://www.glassdoor.com/Salary/Continental-Salaries-E3768.htm,Senior Software Engineer - Monthly,"https://www.glassdoor.com/Monthly-Pay/Continental-Senior-Software-Engineer-US-Monthly-Pay-EJI_IE3768.0,11_KO12,36_IL.37,39_IN1.htm",Continental,11 salaries,See 71 salaries from all locations,"https://www.glassdoor.com/Monthly-Pay/Continental-Senior-Software-Engineer-Monthly-Pay-E3768_D_KO12,36.htm","$5,424",monthly,$5k,$7k
"https://www.glassdoor.com/Salaries/singapore-software-salary-SRCH_IL.0,9_IN217_KO10,18_SDMC.htm",https://media.glassdoor.com/sqls/354/ibm-squarelogo-1468349448058.png,IBM,https://www.glassdoor.com/Salary/IBM-Salaries-E354.htm,Software Engineer,"https://www.glassdoor.com/Salary/IBM-Software-Engineer-US-Salaries-EJI_IE354.0,3_KO4,21_IL.22,24_IN1.htm",IBM,10 salaries,"See 1,087 salaries from all locations","https://www.glassdoor.com/Salary/IBM-Software-Engineer-Salaries-E354_D_KO4,21.htm","$44,150",per year,$37k,$48k
"https://www.glassdoor.com/Salaries/singapore-software-salary-SRCH_IL.0,9_IN217_KO10,18_SDMC.htm",https://media.glassdoor.com/sqls/1155/autodesk-squarelogo.png,Autodesk,https://www.glassdoor.com/Salary/Autodesk-Salaries-E1155.htm,Software Engineer Intern - Monthly,"https://www.glassdoor.com/Intern-Salary/Autodesk-US-Internship-Salary-EI_IE1155.0,8_IL.9,11_IN1.htm?filter.jobTitleFTS=Software+Engineer",Autodesk,10 salaries,See 100 salaries from all locations,https://www.glassdoor.com/Intern-Salary/Autodesk-Internship-Salary-E1155.htm?filter.jobTitleFTS=Software+Engineer,"$1,120",monthly,$1k,$2k
"https://www.glassdoor.com/Salaries/singapore-software-salary-SRCH_IL.0,9_IN217_KO10,18_SDMC.htm",https://media.glassdoor.com/sqls/314063/anacle-systems-squarelogo-1426227819421.png,Anacle Systems,https://www.glassdoor.com/Salary/Anacle-Systems-Salaries-E314063.htm,Software Engineer - Monthly,"https://www.glassdoor.com/Monthly-Pay/Anacle-Systems-Software-Engineer-Monthly-Pay-E314063_D_KO15,32.htm",Anacle Systems,10 salaries,,,"$3,420",monthly,$3k,$4k
"https://www.glassdoor.com/Salaries/singapore-software-salary-SRCH_IL.0,9_IN217_KO10,18_SDMC.htm",https://media.glassdoor.com/sqls/354/ibm-squarelogo-1468349448058.png,IBM,https://www.glassdoor.com/Salary/IBM-Salaries-E354.htm,Staff Software Engineer - Monthly,"https://www.glassdoor.com/Monthly-Pay/IBM-Staff-Software-Engineer-US-Monthly-Pay-EJI_IE354.0,3_KO4,27_IL.28,30_IN1.htm",IBM,10 salaries,See 649 salaries from all locations,"https://www.glassdoor.com/Monthly-Pay/IBM-Staff-Software-Engineer-Monthly-Pay-E354_D_KO4,27.htm","$4,933",monthly,$4k,$7k
"https://www.glassdoor.com/Salaries/singapore-software-salary-SRCH_IL.0,9_IN217_KO10,18_SDMC.htm",https://media.glassdoor.com/sqls/255115/st-electronics-singapore-squarelogo-1386950881336.png,ST Electronics (Singapore),https://www.glassdoor.com/Salary/ST-Electronics-Singapore-Salaries-E255115.htm,Software Specialist - Monthly,"https://www.glassdoor.com/Monthly-Pay/ST-Electronics-Singapore-Software-Specialist-Monthly-Pay-E255115_D_KO25,44.htm",ST Electronics (Singapore),9 salaries,,,"$3,636",monthly,$3k,$4k
